title,content,user_id,specialty_id,video_id,created_at,updated_at
Untitled,,7925,3,,2014-05-17 21:06:46 UTC,2014-05-17 21:06:46 UTC
common emergencies,"hyperkalaemia, anaphylaxis, asthma, ACS",11736,1,246,2014-05-17 17:53:06 UTC,2014-05-17 17:53:06 UTC
Tips,"- acutely unwell: oxygen, fluids, (antibiotics)<br>- don't chase INR<br>- be very careful with insulin (ask if unsure, e.g. diabetic nurse)",11736,26,243,2014-05-16 13:43:36 UTC,2014-05-16 13:43:36 UTC
Anti Arrhythmic Drugs,Side Effects Class 3:<br>1. Corneal deposits<br>2. Thyroid dysfunction<br>3. Pulmonary &nbsp;Fibrosis<br>4. Slate Grey Appearance to the skin<br><br>Atrial Fibrillation + Heart Failure (need to treat rate) = Digoxin,11792,26,117,2014-05-12 06:41:53 UTC,2014-05-12 06:41:53 UTC
"",6Ps:<br>pain<br>pulseless<br>pale<br>parasthesia<br>paralysis<br>perishingly cold<br><br>give IV unfractionated heparin,11792,16,74,2014-05-11 21:19:32 UTC,2014-05-11 21:19:32 UTC
"","Causes of Acute Airway Failure: Extramural/Mural/Intraluminal<br><br>Assess Patency: Look, Listen Feel<br>Stridor=&gt;70% obstruction (inspiratory)<br><br>Assess Protection of airway: altered level of consciousness (AVPU/GCS)<br><br>Airway Management:<br>1. Recognise obstruction<br>2. Supplemental oxygen via non rebreathable mask<br>3. Call for help<br>4. Suction airway<br>5. Basic airway maneuvre: Head tilt, Chin lift or Jaw thrust<br><br>Ensuring correct placement of ET Tube:<br>1. Check end tidal CO2<br>2. Misting of tube<br>3, Chest rise and fall with bag ventilation<br>4. Equal breath sounds on auscultation<br><br>Airway Assesment:<br>1. Look<br>2. Estimate 3-3-2 rule(inter-incisor distance, thyromental distance)<br>3. Mallam Patti score<br>4. Obstruction<br>5. Neck flexion (be careful in people with Rheumatoid Arthritis)",11792,30,183,2014-05-11 18:38:43 UTC,2014-05-11 18:38:43 UTC
"",ASA grade<br>Mallam Patti Scoring,11792,30,160,2014-05-11 17:51:23 UTC,2014-05-11 17:51:23 UTC
Untitled,,11785,22,,2014-05-10 17:37:56 UTC,2014-05-10 17:37:56 UTC
MS,"Ix:<br><ul><li>CSF (oligoclonal bands, cell count raised),&nbsp;</li><li>MRI brain and spinal cord,&nbsp;</li><li>electrophysiology (delayed VEP- optic neuropathy)</li></ul>Tx:<br><ul><li>&nbsp;IV methylprednisilone (for acute attacks),&nbsp;</li><li>SC B-interferon (prevent relapse, reduce no. lesions, outcome unaltered),</li><li>living aids, treat infections,&nbsp;</li><li>oxybutinine (+/- self catheterisation, for urinary incontinence)</li><li>physiotherapy + relaxants (e.g. baclofen) for spasticity</li></ul>",11736,12,57,2014-05-05 13:12:32 UTC,2014-05-05 13:16:22 UTC
RA,"extra-articular manifestations:&nbsp;<br>neuro (carpal tunnel, cervical myeloradiculopathy, hearing difficulty, sensory polyneuropathies, mononeuritis multiplex),&nbsp;<br>lung (pleuritic pain, pleural effusion, pulmonary fibrosis, pulmonary nodules)",11736,6,154,2014-05-05 12:44:24 UTC,2014-05-05 12:44:24 UTC
O&G,"Men-arche, thel-arche, adren-arche<br>Oogonia declines from birth-accelerated decline at 37 years<br><br>Prepuberty, gonadatropins low<br>Near puberty, increased release of gonadotropin realising hormone from anterior pituitary.&nbsp;<br>Increased amplitute of release (not frequecy of release - pulsatile 90 mins)&nbsp;<br>Not pulsatile- constant results in no realise in FSH or LH.<br><br>Phases of menstual cycle. Hypothalamus (GnRH)- anterior pituitary(FSH, LH)&nbsp;- ovaries (oestrogen)&nbsp;<br>FSH- stimulates oocytes- leads to graffian follicle. Increases LH receptors<br>LH acts on thecal cells of ovary, results in Oestrogen release (via aromatisation of androgens in granulosa cells).&nbsp;<br>Day 1 = menstrual cycle- 4 days.&nbsp;<br>DAY 1-8 follicular phase. Low oestrogen low, increase LH and FSH.<br>LH acts thecal cells- androgens to oestrogens.&nbsp;<br>Poliferative phase, increase thickness of womb.&nbsp;<br>High oestrogen, negative feedback The positive - LH and (smaller) FSH surge.&nbsp;<br>14-29 luteal phase, constant- fixed phase.<br><br>Proliferative<br><br>Seretory- gland secretion and size, habitable for trophoblast. Spiral arteries. Increase prostaglandin levels, uterine contraction.&nbsp;<br><br>3 . Damage to ovary, primary oocyte development<br>. Disrupted hormones&nbsp;<br>. Endometrial compromise<br><br>",2364,20,79,2014-05-01 22:27:42 UTC,2014-05-01 22:30:09 UTC
Fluids,"fever = 20% extra each day,&nbsp;<br>post-op = hold off K+ for 24-48 hours<br><br>",11736,15,59,2014-05-01 19:37:00 UTC,2014-05-01 19:40:38 UTC
hmgCo-A,Statins inhibit HMC CO A reductase&nbsp;,11725,26,110,2014-04-28 14:20:08 UTC,2014-04-28 14:20:08 UTC
LMNOP - Acute decompensated HF,Lasix<br>Morphine&nbsp;<br>Nitrate&nbsp;<br>Oxygen<br>P...,11725,26,108,2014-04-27 19:54:05 UTC,2014-04-27 19:54:05 UTC
DONE!! but would be worth watching again after finals,"",10563,7,,2014-04-24 22:09:08 UTC,2014-04-24 22:09:30 UTC
DONE!!,"",10563,22,,2014-04-24 14:49:57 UTC,2014-04-24 14:50:04 UTC
DONE!!,"",10563,5,,2014-04-23 16:53:11 UTC,2014-04-23 16:53:18 UTC
DONE!!,"",10563,2,,2014-04-23 14:39:09 UTC,2014-04-23 14:39:17 UTC
"",jg,10125,9,164,2014-04-23 08:27:24 UTC,2014-04-23 08:27:24 UTC
